Virus Strain,Vaccine Element,HLA,Immunogenicity Score,Binding,Error Rate
Rotavirus,vaccine_element_65,HLA-B*18,0.69,921.0,0.49
Rotavirus,vaccine_element_65,HLA-A*19,0.68,1871.0,0.59
Rotavirus,vaccine_element_65,HLA-A*40,0.7,865.0,0.17
Rotavirus,vaccine_element_65,HLA-B*33,0.4,1820.0,0.09
Rotavirus,vaccine_element_65,HLA-A*26,0.46,1763.0,0.31
Rotavirus,vaccine_element_65,HLA-B*12,0.48,1301.0,0.33
Rotavirus,vaccine_element_65,HLA-B*97,0.97,415.0,0.04
Rotavirus,vaccine_element_65,HLA-B*09,0.92,1741.0,0.57
Rotavirus,vaccine_element_65,HLA-B*89,0.77,324.0,0.42
Rotavirus,vaccine_element_65,HLA-A*45,0.75,1716.0,0.19
Rotavirus,vaccine_element_65,HLA-A*58,0.36,713.0,0.39
Rotavirus,vaccine_element_65,HLA-A*81,0.82,1130.0,0.63
Rotavirus,vaccine_element_65,HLA-A*27,0.98,1864.0,0.22
Rotavirus,vaccine_element_65,HLA-B*50,0.46,1550.0,0.37
Rotavirus,vaccine_element_65,HLA-A*95,0.6,1624.0,0.42
Rotavirus,vaccine_element_65,HLA-B*81,0.48,1502.0,0.31
Rotavirus,vaccine_element_65,HLA-B*29,0.76,1336.0,0.58
Rotavirus,vaccine_element_65,HLA-B*51,0.73,998.0,0.06
Rotavirus,vaccine_element_65,HLA-A*44,0.43,1088.0,0.51
Rotavirus,vaccine_element_65,HLA-B*82,0.53,1204.0,0.54
Rotavirus,vaccine_element_65,HLA-B*72,0.79,1452.0,0.13
Rotavirus,vaccine_element_65,HLA-B*52,0.94,1380.0,0.23
Rotavirus,vaccine_element_65,HLA-A*54,0.41,1889.0,0.49
Rotavirus,vaccine_element_65,HLA-B*60,0.32,1689.0,0.31
Rotavirus,vaccine_element_65,HLA-B*93,0.61,949.0,0.52
Rotavirus,vaccine_element_65,HLA-B*32,0.9,588.0,0.39
Rotavirus,vaccine_element_65,HLA-A*12,0.89,438.0,0.16
Rotavirus,vaccine_element_65,HLA-B*54,0.37,1502.0,0.15
Rotavirus,vaccine_element_66,HLA-B*40,0.87,475.0,0.36
Rotavirus,vaccine_element_66,HLA-B*49,0.68,1988.0,0.29
Rotavirus,vaccine_element_66,HLA-B*18,0.7,1420.0,0.22
Rotavirus,vaccine_element_66,HLA-A*19,0.35,1073.0,0.04
Rotavirus,vaccine_element_66,HLA-A*40,0.5,942.0,0.13
Rotavirus,vaccine_element_66,HLA-B*33,0.67,441.0,0.38
Rotavirus,vaccine_element_66,HLA-A*26,0.5,1308.0,0.47
Rotavirus,vaccine_element_66,HLA-B*12,0.73,1570.0,0.05
Rotavirus,vaccine_element_66,HLA-B*97,0.66,1060.0,0.49
Rotavirus,vaccine_element_66,HLA-B*09,0.8,1067.0,0.21
Rotavirus,vaccine_element_66,HLA-B*89,0.57,731.0,0.15
Rotavirus,vaccine_element_66,HLA-A*45,0.59,1605.0,0.06
Rotavirus,vaccine_element_66,HLA-A*58,0.33,969.0,0.15
Rotavirus,vaccine_element_66,HLA-A*81,0.95,460.0,0.51
Rotavirus,vaccine_element_66,HLA-A*27,0.41,1546.0,0.57
Rotavirus,vaccine_element_66,HLA-B*50,0.7,1961.0,0.18
Rotavirus,vaccine_element_66,HLA-A*95,0.59,598.0,0.43
Rotavirus,vaccine_element_66,HLA-B*81,0.93,375.0,0.25
Rotavirus,vaccine_element_66,HLA-B*29,0.76,906.0,0.1
Rotavirus,vaccine_element_66,HLA-B*51,0.67,598.0,0.13
Rotavirus,vaccine_element_66,HLA-A*44,0.98,301.0,0.07
Rotavirus,vaccine_element_66,HLA-B*82,0.44,1773.0,0.1
Rotavirus,vaccine_element_66,HLA-B*72,0.93,345.0,0.37
Rotavirus,vaccine_element_66,HLA-B*52,0.86,1088.0,0.57
Rotavirus,vaccine_element_66,HLA-A*54,0.99,324.0,0.53
Rotavirus,vaccine_element_66,HLA-B*60,0.66,1346.0,0.66
Rotavirus,vaccine_element_66,HLA-B*93,0.52,467.0,0.51
Rotavirus,vaccine_element_66,HLA-B*32,0.72,456.0,0.47
Rotavirus,vaccine_element_66,HLA-A*12,0.38,1555.0,0.31
Rotavirus,vaccine_element_66,HLA-B*54,0.72,1195.0,0.15
Rotavirus,vaccine_element_67,HLA-B*40,0.96,1548.0,0.42
Rotavirus,vaccine_element_67,HLA-B*49,0.75,878.0,0.37
Rotavirus,vaccine_element_67,HLA-B*18,0.41,1517.0,0.41
Rotavirus,vaccine_element_67,HLA-A*19,0.76,890.0,0.32
Rotavirus,vaccine_element_67,HLA-A*40,0.47,984.0,0.62
Rotavirus,vaccine_element_67,HLA-B*33,0.91,1582.0,0.2
Rotavirus,vaccine_element_67,HLA-A*26,0.65,1730.0,0.15
Rotavirus,vaccine_element_67,HLA-B*12,0.42,1770.0,0.43
Rotavirus,vaccine_element_67,HLA-B*97,0.52,601.0,0.51
Rotavirus,vaccine_element_67,HLA-B*09,0.72,1163.0,0.08
Rotavirus,vaccine_element_67,HLA-B*89,0.44,1003.0,0.34
Rotavirus,vaccine_element_67,HLA-A*45,0.68,1666.0,0.06
Rotavirus,vaccine_element_67,HLA-A*58,0.56,1429.0,0.55
Rotavirus,vaccine_element_67,HLA-A*81,0.93,1886.0,0.09
Rotavirus,vaccine_element_67,HLA-A*27,0.74,404.0,0.07
Rotavirus,vaccine_element_67,HLA-B*50,0.66,910.0,0.11
Rotavirus,vaccine_element_67,HLA-A*95,0.42,306.0,0.22
Rotavirus,vaccine_element_67,HLA-B*81,0.57,583.0,0.43
Rotavirus,vaccine_element_67,HLA-B*29,0.7,1072.0,0.31
Rotavirus,vaccine_element_67,HLA-B*51,0.88,819.0,0.66
Rotavirus,vaccine_element_67,HLA-A*44,0.45,1772.0,0.15
Rotavirus,vaccine_element_67,HLA-B*82,0.55,1783.0,0.64
Rotavirus,vaccine_element_67,HLA-B*72,0.41,1541.0,0.66
Rotavirus,vaccine_element_67,HLA-B*52,0.64,464.0,0.53
Rotavirus,vaccine_element_67,HLA-A*54,0.48,682.0,0.15
Rotavirus,vaccine_element_67,HLA-B*60,0.33,1011.0,0.26
Rotavirus,vaccine_element_67,HLA-B*93,0.97,974.0,0.51
Rotavirus,vaccine_element_67,HLA-B*32,0.62,340.0,0.21
Rotavirus,vaccine_element_67,HLA-A*12,0.72,1543.0,0.49
Rotavirus,vaccine_element_67,HLA-B*54,0.72,1562.0,0.63
Rotavirus,vaccine_element_68,HLA-B*40,0.59,1848.0,0.38
Rotavirus,vaccine_element_68,HLA-B*49,0.6,1131.0,0.42
Rotavirus,vaccine_element_68,HLA-B*18,0.77,1707.0,0.25
Rotavirus,vaccine_element_68,HLA-A*19,0.54,1875.0,0.17
Rotavirus,vaccine_element_68,HLA-A*40,0.77,1951.0,0.6
Rotavirus,vaccine_element_68,HLA-B*33,0.98,482.0,0.63
Rotavirus,vaccine_element_68,HLA-A*26,0.65,314.0,0.46
Rotavirus,vaccine_element_68,HLA-B*12,0.52,325.0,0.19
Rotavirus,vaccine_element_68,HLA-B*97,0.39,1809.0,0.57
Rotavirus,vaccine_element_68,HLA-B*09,0.61,1803.0,0.2
Rotavirus,vaccine_element_68,HLA-B*89,0.75,754.0,0.35
Rotavirus,vaccine_element_68,HLA-A*45,0.39,372.0,0.54
Rotavirus,vaccine_element_68,HLA-A*58,0.91,1845.0,0.08
Rotavirus,vaccine_element_68,HLA-A*81,1.0,473.0,0.24
Rotavirus,vaccine_element_68,HLA-A*27,0.57,601.0,0.54
Rotavirus,vaccine_element_68,HLA-B*50,0.64,1948.0,0.3
Rotavirus,vaccine_element_68,HLA-A*95,0.58,1809.0,0.52
Rotavirus,vaccine_element_68,HLA-B*81,0.41,1710.0,0.13
Rotavirus,vaccine_element_68,HLA-B*29,0.53,1413.0,0.19
Rotavirus,vaccine_element_68,HLA-B*51,0.99,1250.0,0.32
Rotavirus,vaccine_element_68,HLA-A*44,0.62,721.0,0.51
Rotavirus,vaccine_element_68,HLA-B*82,0.47,1208.0,0.5
Rotavirus,vaccine_element_68,HLA-B*72,0.53,1981.0,0.11
Rotavirus,vaccine_element_68,HLA-B*52,0.48,1977.0,0.4
Rotavirus,vaccine_element_68,HLA-A*54,0.95,1475.0,0.66
Rotavirus,vaccine_element_68,HLA-B*60,0.94,1660.0,0.28
Rotavirus,vaccine_element_68,HLA-B*93,0.65,722.0,0.2
Rotavirus,vaccine_element_68,HLA-B*32,0.9,1160.0,0.5
Rotavirus,vaccine_element_68,HLA-A*12,0.41,575.0,0.16
Rotavirus,vaccine_element_68,HLA-B*54,0.45,1235.0,0.52
Rotavirus,vaccine_element_69,HLA-B*40,0.37,988.0,0.22
Rotavirus,vaccine_element_69,HLA-B*49,0.57,328.0,0.22
Rotavirus,vaccine_element_69,HLA-B*18,0.45,1616.0,0.54
Rotavirus,vaccine_element_69,HLA-A*19,0.92,1810.0,0.1
Rotavirus,vaccine_element_69,HLA-A*40,0.48,502.0,0.12
Rotavirus,vaccine_element_69,HLA-B*33,0.75,1010.0,0.13
Rotavirus,vaccine_element_69,HLA-A*26,0.37,820.0,0.18
Rotavirus,vaccine_element_69,HLA-B*12,0.38,1878.0,0.59
Rotavirus,vaccine_element_69,HLA-B*97,0.91,602.0,0.21
Rotavirus,vaccine_element_69,HLA-B*09,0.67,1486.0,0.42
Rotavirus,vaccine_element_69,HLA-B*89,0.38,1034.0,0.66
Rotavirus,vaccine_element_69,HLA-A*45,0.74,1226.0,0.66
Rotavirus,vaccine_element_69,HLA-A*58,0.56,823.0,0.66
Rotavirus,vaccine_element_69,HLA-A*81,0.83,435.0,0.06
Rotavirus,vaccine_element_69,HLA-A*27,0.78,1983.0,0.41
Rotavirus,vaccine_element_69,HLA-B*50,0.42,1151.0,0.31
Rotavirus,vaccine_element_69,HLA-A*95,0.66,1962.0,0.46
Rotavirus,vaccine_element_69,HLA-B*81,0.53,872.0,0.67
Rotavirus,vaccine_element_69,HLA-B*29,0.75,1481.0,0.44
Rotavirus,vaccine_element_69,HLA-B*51,0.74,1138.0,0.66
Rotavirus,vaccine_element_69,HLA-A*44,0.92,1587.0,0.25
Rotavirus,vaccine_element_69,HLA-B*82,0.73,1405.0,0.28
Rotavirus,vaccine_element_69,HLA-B*72,0.88,1896.0,0.14
Rotavirus,vaccine_element_69,HLA-B*52,0.39,840.0,0.17
Rotavirus,vaccine_element_69,HLA-A*54,0.99,1173.0,0.1
Rotavirus,vaccine_element_69,HLA-B*60,0.88,1667.0,0.19
Rotavirus,vaccine_element_69,HLA-B*93,0.54,1219.0,0.1
Rotavirus,vaccine_element_69,HLA-B*32,0.84,1195.0,0.52
Rotavirus,vaccine_element_69,HLA-A*12,0.7,1096.0,0.41
Rotavirus,vaccine_element_69,HLA-B*54,0.87,1807.0,0.33
Rotavirus,vaccine_element_70,HLA-B*40,0.47,427.0,0.44
Rotavirus,vaccine_element_70,HLA-B*49,0.55,1515.0,0.59
Rotavirus,vaccine_element_70,HLA-B*18,0.65,394.0,0.32
Rotavirus,vaccine_element_70,HLA-A*19,0.43,832.0,0.44
Rotavirus,vaccine_element_70,HLA-A*40,0.33,1601.0,0.05
Rotavirus,vaccine_element_70,HLA-B*33,0.46,1342.0,0.17
Rotavirus,vaccine_element_70,HLA-A*26,0.53,1751.0,0.09
Rotavirus,vaccine_element_70,HLA-B*12,0.62,715.0,0.57
Rotavirus,vaccine_element_70,HLA-B*97,0.46,1930.0,0.19
Rotavirus,vaccine_element_70,HLA-B*09,0.37,1000.0,0.4
Rotavirus,vaccine_element_70,HLA-B*89,0.52,1756.0,0.37
Rotavirus,vaccine_element_70,HLA-A*45,0.73,909.0,0.61
Rotavirus,vaccine_element_70,HLA-A*58,0.6,1590.0,0.35
Rotavirus,vaccine_element_70,HLA-A*81,0.42,716.0,0.43
Rotavirus,vaccine_element_70,HLA-A*27,0.61,1730.0,0.25
Rotavirus,vaccine_element_70,HLA-B*50,0.4,1225.0,0.32
Rotavirus,vaccine_element_70,HLA-A*95,0.38,1425.0,0.26
Rotavirus,vaccine_element_70,HLA-B*81,0.53,358.0,0.44
Rotavirus,vaccine_element_70,HLA-B*29,0.82,1995.0,0.33
Rotavirus,vaccine_element_70,HLA-B*51,0.89,852.0,0.32
Rotavirus,vaccine_element_70,HLA-A*44,0.69,1695.0,0.04
Rotavirus,vaccine_element_70,HLA-B*82,0.81,1422.0,0.6
Rotavirus,vaccine_element_70,HLA-B*72,0.46,1194.0,0.6
Rotavirus,vaccine_element_70,HLA-B*52,0.74,1296.0,0.1
Rotavirus,vaccine_element_70,HLA-A*54,0.91,1922.0,0.59
Rotavirus,vaccine_element_70,HLA-B*60,0.76,1723.0,0.08
Rotavirus,vaccine_element_70,HLA-B*93,0.88,1533.0,0.03
Rotavirus,vaccine_element_70,HLA-B*32,0.88,1605.0,0.44
Rotavirus,vaccine_element_70,HLA-A*12,0.78,1352.0,0.08
Rotavirus,vaccine_element_70,HLA-B*54,0.72,943.0,0.16
Rotavirus,vaccine_element_71,HLA-B*40,0.45,390.0,0.05
Rotavirus,vaccine_element_71,HLA-B*49,0.39,1586.0,0.52
Rotavirus,vaccine_element_71,HLA-B*18,0.92,804.0,0.46
Rotavirus,vaccine_element_71,HLA-A*19,0.69,1759.0,0.44
Rotavirus,vaccine_element_71,HLA-A*40,0.53,943.0,0.32
Rotavirus,vaccine_element_71,HLA-B*33,0.33,1693.0,0.13
Rotavirus,vaccine_element_71,HLA-A*26,0.72,1658.0,0.33
Rotavirus,vaccine_element_71,HLA-B*12,0.71,1703.0,0.2
Rotavirus,vaccine_element_71,HLA-B*97,0.38,1446.0,0.22
Rotavirus,vaccine_element_71,HLA-B*09,0.44,1618.0,0.15
Rotavirus,vaccine_element_71,HLA-B*89,0.66,777.0,0.55
Rotavirus,vaccine_element_71,HLA-A*45,0.65,713.0,0.54
Rotavirus,vaccine_element_71,HLA-A*58,0.37,664.0,0.52
Rotavirus,vaccine_element_71,HLA-A*81,0.57,1397.0,0.66
Rotavirus,vaccine_element_71,HLA-A*27,0.63,1567.0,0.18
Rotavirus,vaccine_element_71,HLA-B*50,0.57,448.0,0.37
Rotavirus,vaccine_element_71,HLA-A*95,0.97,1340.0,0.11
Rotavirus,vaccine_element_71,HLA-B*81,0.79,1471.0,0.28
Rotavirus,vaccine_element_71,HLA-B*29,0.93,1501.0,0.04
Rotavirus,vaccine_element_71,HLA-B*51,0.68,372.0,0.46
Rotavirus,vaccine_element_71,HLA-A*44,0.66,1306.0,0.44
Rotavirus,vaccine_element_71,HLA-B*82,0.87,1797.0,0.46
Rotavirus,vaccine_element_71,HLA-B*72,0.94,1995.0,0.24
Rotavirus,vaccine_element_71,HLA-B*52,0.88,445.0,0.31
Rotavirus,vaccine_element_71,HLA-A*54,0.65,568.0,0.2
Rotavirus,vaccine_element_71,HLA-B*60,0.54,678.0,0.08
Rotavirus,vaccine_element_71,HLA-B*93,0.53,1192.0,0.08
Rotavirus,vaccine_element_71,HLA-B*32,0.53,1879.0,0.46
Rotavirus,vaccine_element_71,HLA-A*12,0.55,1920.0,0.04
Rotavirus,vaccine_element_71,HLA-B*54,0.65,988.0,0.41
Rotavirus,vaccine_element_72,HLA-B*40,0.69,625.0,0.27
Rotavirus,vaccine_element_72,HLA-B*49,0.66,539.0,0.19
Rotavirus,vaccine_element_72,HLA-B*18,0.92,1965.0,0.44
Rotavirus,vaccine_element_72,HLA-A*19,0.61,1080.0,0.06
Rotavirus,vaccine_element_72,HLA-A*40,0.84,1394.0,0.23
Rotavirus,vaccine_element_72,HLA-B*33,0.54,804.0,0.16
Rotavirus,vaccine_element_72,HLA-A*26,0.94,1210.0,0.45
Rotavirus,vaccine_element_72,HLA-B*12,0.74,713.0,0.53
Rotavirus,vaccine_element_72,HLA-B*97,0.7,1423.0,0.59
Rotavirus,vaccine_element_72,HLA-B*09,0.81,1283.0,0.65
Rotavirus,vaccine_element_72,HLA-B*89,0.83,1879.0,0.46
Rotavirus,vaccine_element_72,HLA-A*45,0.52,1433.0,0.06
Rotavirus,vaccine_element_72,HLA-A*58,0.58,1852.0,0.11
Rotavirus,vaccine_element_72,HLA-A*81,0.73,783.0,0.56
Rotavirus,vaccine_element_72,HLA-A*27,0.9,1899.0,0.2
Rotavirus,vaccine_element_72,HLA-B*50,0.76,1855.0,0.24
Rotavirus,vaccine_element_72,HLA-A*95,0.57,1655.0,0.4
Rotavirus,vaccine_element_72,HLA-B*81,0.84,1838.0,0.26
Rotavirus,vaccine_element_72,HLA-B*29,0.52,500.0,0.42
Rotavirus,vaccine_element_72,HLA-B*51,0.76,1501.0,0.22
Rotavirus,vaccine_element_72,HLA-A*44,0.36,779.0,0.54
Rotavirus,vaccine_element_72,HLA-B*82,0.92,1910.0,0.47
Rotavirus,vaccine_element_72,HLA-B*72,0.79,688.0,0.07
Rotavirus,vaccine_element_72,HLA-B*52,0.85,1188.0,0.06
Rotavirus,vaccine_element_72,HLA-A*54,0.81,970.0,0.31
Rotavirus,vaccine_element_72,HLA-B*60,0.56,1916.0,0.22
Rotavirus,vaccine_element_72,HLA-B*93,0.9,833.0,0.2
Rotavirus,vaccine_element_72,HLA-B*32,0.85,638.0,0.51
Rotavirus,vaccine_element_72,HLA-A*12,0.74,1791.0,0.31
Rotavirus,vaccine_element_72,HLA-B*54,0.58,626.0,0.26
Rotavirus,vaccine_element_73,HLA-B*40,0.91,1747.0,0.27
Rotavirus,vaccine_element_73,HLA-B*49,0.73,310.0,0.48
Rotavirus,vaccine_element_73,HLA-B*18,0.78,595.0,0.58
Rotavirus,vaccine_element_73,HLA-A*19,1.0,1970.0,0.32
Rotavirus,vaccine_element_73,HLA-A*40,0.59,1649.0,0.04
Rotavirus,vaccine_element_73,HLA-B*33,0.4,1795.0,0.5
Rotavirus,vaccine_element_73,HLA-A*26,0.45,734.0,0.21
Rotavirus,vaccine_element_73,HLA-B*12,0.7,323.0,0.09
Rotavirus,vaccine_element_73,HLA-B*97,0.66,1503.0,0.28
Rotavirus,vaccine_element_73,HLA-B*09,0.64,1773.0,0.66
Rotavirus,vaccine_element_73,HLA-B*89,0.98,534.0,0.06
Rotavirus,vaccine_element_73,HLA-A*45,0.49,553.0,0.09
Rotavirus,vaccine_element_73,HLA-A*58,0.83,761.0,0.28
Rotavirus,vaccine_element_73,HLA-A*81,0.98,1345.0,0.34
Rotavirus,vaccine_element_73,HLA-A*27,0.72,1005.0,0.58
Rotavirus,vaccine_element_73,HLA-B*50,0.84,895.0,0.09
Rotavirus,vaccine_element_73,HLA-A*95,0.46,1573.0,0.39
Rotavirus,vaccine_element_73,HLA-B*81,0.72,879.0,0.16
Rotavirus,vaccine_element_73,HLA-B*29,0.54,454.0,0.44
Rotavirus,vaccine_element_73,HLA-B*51,0.96,1143.0,0.15
Rotavirus,vaccine_element_73,HLA-A*44,0.52,1116.0,0.42
Rotavirus,vaccine_element_73,HLA-B*82,0.72,948.0,0.29
Rotavirus,vaccine_element_73,HLA-B*72,0.61,383.0,0.48
Rotavirus,vaccine_element_73,HLA-B*52,0.66,473.0,0.24
Rotavirus,vaccine_element_73,HLA-A*54,0.49,718.0,0.49
Rotavirus,vaccine_element_73,HLA-B*60,0.89,844.0,0.05
Rotavirus,vaccine_element_73,HLA-B*93,0.8,986.0,0.62
Rotavirus,vaccine_element_73,HLA-B*32,0.62,1791.0,0.1
Rotavirus,vaccine_element_73,HLA-A*12,0.34,998.0,0.61
Rotavirus,vaccine_element_73,HLA-B*54,0.53,455.0,0.08
Rotavirus,vaccine_element_74,HLA-B*40,0.82,399.0,0.2
Rotavirus,vaccine_element_74,HLA-B*49,0.98,1554.0,0.17
Rotavirus,vaccine_element_74,HLA-B*18,0.36,956.0,0.29
Rotavirus,vaccine_element_74,HLA-A*19,0.93,1688.0,0.66
Rotavirus,vaccine_element_74,HLA-A*40,0.92,1275.0,0.59
Rotavirus,vaccine_element_74,HLA-B*33,0.79,1481.0,0.22
Rotavirus,vaccine_element_74,HLA-A*26,0.33,1661.0,0.46
Rotavirus,vaccine_element_74,HLA-B*12,0.43,1946.0,0.17
Rotavirus,vaccine_element_74,HLA-B*97,0.9,1125.0,0.48
Rotavirus,vaccine_element_74,HLA-B*09,0.7,1845.0,0.16
Rotavirus,vaccine_element_74,HLA-B*89,0.5,1999.0,0.54
Rotavirus,vaccine_element_74,HLA-A*45,0.42,1957.0,0.08
Rotavirus,vaccine_element_74,HLA-A*58,0.71,1369.0,0.51
Rotavirus,vaccine_element_74,HLA-A*81,0.82,1460.0,0.62
Rotavirus,vaccine_element_74,HLA-A*27,0.63,1930.0,0.66
Rotavirus,vaccine_element_74,HLA-B*50,0.59,1234.0,0.42
Rotavirus,vaccine_element_74,HLA-A*95,0.51,1716.0,0.38
Rotavirus,vaccine_element_74,HLA-B*81,0.46,980.0,0.62
Rotavirus,vaccine_element_74,HLA-B*29,0.93,1710.0,0.5
Rotavirus,vaccine_element_74,HLA-B*51,0.91,1475.0,0.08
Rotavirus,vaccine_element_74,HLA-A*44,0.95,377.0,0.52
Rotavirus,vaccine_element_74,HLA-B*82,0.82,1038.0,0.16
Rotavirus,vaccine_element_74,HLA-B*72,0.42,469.0,0.23
Rotavirus,vaccine_element_74,HLA-B*52,0.38,1996.0,0.1
Rotavirus,vaccine_element_74,HLA-A*54,0.61,1392.0,0.06
Rotavirus,vaccine_element_74,HLA-B*60,0.57,483.0,0.34
Rotavirus,vaccine_element_74,HLA-B*93,0.78,633.0,0.21
Rotavirus,vaccine_element_74,HLA-B*32,0.4,1468.0,0.42
Rotavirus,vaccine_element_74,HLA-A*12,0.89,1837.0,0.45
Rotavirus,vaccine_element_74,HLA-B*54,0.58,523.0,0.46
Rotavirus,vaccine_element_75,HLA-B*40,0.58,1264.0,0.55
Rotavirus,vaccine_element_75,HLA-B*49,0.91,485.0,0.48
Rotavirus,vaccine_element_75,HLA-B*18,0.88,679.0,0.27
Rotavirus,vaccine_element_75,HLA-A*19,0.93,775.0,0.19
Rotavirus,vaccine_element_75,HLA-A*40,0.93,1581.0,0.31
Rotavirus,vaccine_element_75,HLA-B*33,0.48,1447.0,0.59
Rotavirus,vaccine_element_75,HLA-A*26,0.91,1065.0,0.38
Rotavirus,vaccine_element_75,HLA-B*12,0.73,1749.0,0.47
Rotavirus,vaccine_element_75,HLA-B*97,0.54,910.0,0.38
Rotavirus,vaccine_element_75,HLA-B*09,0.51,903.0,0.27
Rotavirus,vaccine_element_75,HLA-B*89,0.68,1272.0,0.64
Rotavirus,vaccine_element_75,HLA-A*45,0.74,488.0,0.44
Rotavirus,vaccine_element_75,HLA-A*58,0.64,1554.0,0.5
Rotavirus,vaccine_element_75,HLA-A*81,0.95,688.0,0.1
Rotavirus,vaccine_element_75,HLA-A*27,0.58,696.0,0.27
Rotavirus,vaccine_element_75,HLA-B*50,0.63,1012.0,0.2
Rotavirus,vaccine_element_75,HLA-A*95,0.53,1293.0,0.46
Rotavirus,vaccine_element_75,HLA-B*81,0.89,843.0,0.29
Rotavirus,vaccine_element_75,HLA-B*29,0.5,1700.0,0.07
Rotavirus,vaccine_element_75,HLA-B*51,0.35,1783.0,0.45
Rotavirus,vaccine_element_75,HLA-A*44,0.74,1644.0,0.29
Rotavirus,vaccine_element_75,HLA-B*82,0.46,1685.0,0.46
Rotavirus,vaccine_element_75,HLA-B*72,0.81,1513.0,0.63
Rotavirus,vaccine_element_75,HLA-B*52,0.57,800.0,0.06
Rotavirus,vaccine_element_75,HLA-A*54,0.82,1705.0,0.57
Rotavirus,vaccine_element_75,HLA-B*60,0.5,541.0,0.17
Rotavirus,vaccine_element_75,HLA-B*93,0.85,913.0,0.54
Rotavirus,vaccine_element_75,HLA-B*32,0.64,1228.0,0.12
Rotavirus,vaccine_element_75,HLA-A*12,0.64,930.0,0.08
Rotavirus,vaccine_element_75,HLA-B*54,0.79,478.0,0.62
Rotavirus,vaccine_element_76,HLA-B*40,0.72,1469.0,0.37
Rotavirus,vaccine_element_76,HLA-B*49,0.65,1616.0,0.07
Rotavirus,vaccine_element_76,HLA-B*18,0.67,1626.0,0.2
Rotavirus,vaccine_element_76,HLA-A*19,0.92,495.0,0.33
Rotavirus,vaccine_element_76,HLA-A*40,0.8,735.0,0.08
Rotavirus,vaccine_element_76,HLA-B*33,0.64,600.0,0.54
Rotavirus,vaccine_element_76,HLA-A*26,0.5,1257.0,0.64
Rotavirus,vaccine_element_76,HLA-B*12,0.9,476.0,0.38
Rotavirus,vaccine_element_76,HLA-B*97,0.37,1062.0,0.29
Rotavirus,vaccine_element_76,HLA-B*09,0.61,1153.0,0.36
Rotavirus,vaccine_element_76,HLA-B*89,0.46,1917.0,0.42
Rotavirus,vaccine_element_76,HLA-A*45,0.55,1917.0,0.52
Rotavirus,vaccine_element_76,HLA-A*58,0.7,1141.0,0.04
Rotavirus,vaccine_element_76,HLA-A*81,0.55,1463.0,0.64
Rotavirus,vaccine_element_76,HLA-A*27,0.75,1046.0,0.53
Rotavirus,vaccine_element_76,HLA-B*50,0.62,677.0,0.11
Rotavirus,vaccine_element_76,HLA-A*95,0.93,599.0,0.65
Rotavirus,vaccine_element_76,HLA-B*81,0.43,912.0,0.2
Rotavirus,vaccine_element_76,HLA-B*29,0.83,1149.0,0.24
Rotavirus,vaccine_element_76,HLA-B*51,0.61,376.0,0.49
Rotavirus,vaccine_element_76,HLA-A*44,0.85,1936.0,0.23
Rotavirus,vaccine_element_76,HLA-B*82,0.37,384.0,0.29
Rotavirus,vaccine_element_76,HLA-B*72,0.83,984.0,0.22
Rotavirus,vaccine_element_76,HLA-B*52,0.95,1623.0,0.38
Rotavirus,vaccine_element_76,HLA-A*54,0.46,459.0,0.14
Rotavirus,vaccine_element_76,HLA-B*60,0.75,1096.0,0.56
Rotavirus,vaccine_element_76,HLA-B*93,0.52,1854.0,0.48
Rotavirus,vaccine_element_76,HLA-B*32,0.66,981.0,0.64
Rotavirus,vaccine_element_76,HLA-A*12,0.54,1431.0,0.33
Rotavirus,vaccine_element_76,HLA-B*54,0.41,1289.0,0.65
Rotavirus,vaccine_element_77,HLA-B*40,0.43,1943.0,0.27
Rotavirus,vaccine_element_77,HLA-B*49,0.59,1444.0,0.27
Rotavirus,vaccine_element_77,HLA-B*18,0.42,1432.0,0.24
Rotavirus,vaccine_element_77,HLA-A*19,0.62,1724.0,0.13
Rotavirus,vaccine_element_77,HLA-A*40,0.63,1955.0,0.47
Rotavirus,vaccine_element_77,HLA-B*33,0.57,1298.0,0.5
Rotavirus,vaccine_element_77,HLA-A*26,0.51,684.0,0.59
Rotavirus,vaccine_element_77,HLA-B*12,0.43,566.0,0.15
Rotavirus,vaccine_element_77,HLA-B*97,0.39,677.0,0.39
Rotavirus,vaccine_element_77,HLA-B*09,0.35,1088.0,0.58
Rotavirus,vaccine_element_77,HLA-B*89,0.48,1813.0,0.52
Rotavirus,vaccine_element_77,HLA-A*45,0.86,561.0,0.29
Rotavirus,vaccine_element_77,HLA-A*58,0.86,1035.0,0.29
Rotavirus,vaccine_element_77,HLA-A*81,0.36,474.0,0.09
Rotavirus,vaccine_element_77,HLA-A*27,0.54,1418.0,0.33
Rotavirus,vaccine_element_77,HLA-B*50,0.56,722.0,0.6
Rotavirus,vaccine_element_77,HLA-A*95,0.61,549.0,0.62
Rotavirus,vaccine_element_77,HLA-B*81,0.96,321.0,0.04
Rotavirus,vaccine_element_77,HLA-B*29,0.34,1211.0,0.12
Rotavirus,vaccine_element_77,HLA-B*51,0.42,1312.0,0.08
Rotavirus,vaccine_element_77,HLA-A*44,0.55,463.0,0.12
Rotavirus,vaccine_element_77,HLA-B*82,0.77,477.0,0.42
Rotavirus,vaccine_element_77,HLA-B*72,0.99,1290.0,0.64
